event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
3171,M,2000,237.4310863095238,14615.114905124978,-6.154162109225823,Vermont City
3171,M,2001,241.28516759039323,14615.114905124978,-2.3000808283563856,Vermont City
3171,M,2002,242.58374962830806,14615.114905124978,-1.0014987904415649,Vermont City
3171,M,2003,241.93333333333334,14615.114905124978,-1.6519150854162945,Vermont City
3171,M,2004,244.09745911949685,14615.114905124978,0.5122107007472247,Vermont City
3171,M,2006,253.21910399257195,14615.114905124978,9.633855573822318,Vermont City
3171,M,2009,243.48910351659237,14615.114905124978,-0.09614490215726619,Vermont City
3171,M,2010,246.14465075154732,14615.114905124978,2.5594023327976783,Vermont City
3171,M,2011,251.8367322165574,14615.114905124978,8.25148379780779,Vermont City
3171,M,2012,246.51226297405188,14615.114905124978,2.9270145553022604,Vermont City
3171,M,2013,241.72010296934866,14615.114905124978,-1.8651454494009765,Vermont City
3171,M,2014,246.15815741464684,14615.114905124978,2.5729089958972207,Vermont City
3171,M,2015,245.1466540880503,14615.114905124978,1.561405669300681,Vermont City
3171,M,2016,226.80391812865497,14615.114905124978,-16.781330290094655,Vermont City
3171,M,2017,249.41039697542536,14615.114905124978,5.825148556675716,Vermont City
3171,M,2018,248.26476282671828,14615.114905124978,4.67951440796866,Vermont City
3171,M,2019,247.17321733196863,14615.114905124978,3.5879689132189925,Vermont City
3175,F,1998,261.09250269687163,16430.529950134187,-12.749663138698148,Shamrock
3175,F,1999,261.4655929038282,16430.529950134187,-12.376572931741581,Shamrock
3175,F,2000,271.23650793650796,16430.529950134187,-2.6056578990618315,Shamrock
3175,F,2001,270.09865942028983,16430.529950134187,-3.743506415279929,Shamrock
3175,F,2002,292.7866228070176,16430.529950134187,18.944456971447774,Shamrock
3175,F,2003,272.6204301075269,16430.529950134187,-1.221735728042889,Shamrock
3175,F,2004,267.6505067567567,16430.529950134187,-6.191659078813033,Shamrock
3175,F,2005,274.2758012820513,16430.529950134187,0.43363544648151825,Shamrock
3175,F,2006,268.7505575117371,16430.529950134187,-5.091608323832679,Shamrock
3175,F,2007,269.67349304482224,16430.529950134187,-4.168672790747526,Shamrock
3175,F,2009,274.7203972366149,16430.529950134187,0.8782314010450742,Shamrock
3175,F,2010,284.44209039548025,16430.529950134187,10.599924559910445,Shamrock
3175,F,2016,279.7163316582915,16430.529950134187,5.874165822721685,Shamrock
3175,F,2017,280.53208828522924,16430.529950134187,6.689922449659449,Shamrock
3175,F,2018,275.4167537746806,16430.529950134187,1.5745879391108246,Shamrock
3175,F,2019,276.99631755141075,16430.529950134187,3.1541517158409986,Shamrock
3175,M,1998,239.51878031878033,15078.103749120412,-11.78294883322654,Shamrock
3175,M,1999,236.16383881230115,15078.103749120412,-15.1378903397057,Shamrock
3175,M,2000,239.22862646566165,15078.103749120412,-12.073102686345221,Shamrock
