,year,gender,lat,lon,event,region,state,postal,freq,event_name
172,2006,F,33.6594835,-117.9988026,1224,West,California,CA,289,Surf City
173,2006,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,119,Erie
174,2006,F,61.2180556,-149.9002778,123522,West,Alaska,AK,668,Anchorage
175,2006,M,33.6594835,-117.9988026,1224,West,California,CA,449,Surf City
176,2006,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,274,Erie
177,2006,M,61.2180556,-149.9002778,123522,West,Alaska,AK,584,Anchorage
178,2007,F,33.6594835,-117.9988026,1224,West,California,CA,320,Surf City
179,2007,F,61.2180556,-149.9002778,123522,West,Alaska,AK,585,Anchorage
180,2007,M,33.6594835,-117.9988026,1224,West,California,CA,624,Surf City
181,2007,M,61.2180556,-149.9002778,123522,West,Alaska,AK,538,Anchorage
182,2008,F,33.6594835,-117.9988026,1224,West,California,CA,412,Surf City
183,2008,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,141,Erie
184,2008,F,61.2180556,-149.9002778,123522,West,Alaska,AK,547,Anchorage
185,2008,M,33.6594835,-117.9988026,1224,West,California,CA,658,Surf City
186,2008,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,264,Erie
187,2008,M,61.2180556,-149.9002778,123522,West,Alaska,AK,522,Anchorage
188,2009,F,33.6594835,-117.9988026,1224,West,California,CA,807,Surf City
189,2009,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,190,Erie
190,2009,F,61.2180556,-149.9002778,123522,West,Alaska,AK,381,Anchorage
191,2009,M,33.6594835,-117.9988026,1224,West,California,CA,1103,Surf City
192,2009,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,290,Erie
193,2009,M,61.2180556,-149.9002778,123522,West,Alaska,AK,430,Anchorage
194,2010,F,33.6594835,-117.9988026,1224,West,California,CA,939,Surf City
195,2010,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,176,Erie
196,2010,F,61.2180556,-149.9002778,123522,West,Alaska,AK,326,Anchorage
197,2010,M,33.6594835,-117.9988026,1224,West,California,CA,1375,Surf City
198,2010,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,290,Erie
199,2010,M,61.2180556,-149.9002778,123522,West,Alaska,AK,439,Anchorage
200,2011,F,33.6594835,-117.9988026,1224,West,California,CA,949,Surf City
201,2011,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,172,Erie
202,2011,F,61.2180556,-149.9002778,123522,West,Alaska,AK,416,Anchorage
203,2011,M,33.6594835,-117.9988026,1224,West,California,CA,1446,Surf City
204,2011,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,346,Erie
205,2011,M,61.2180556,-149.9002778,123522,West,Alaska,AK,445,Anchorage
206,2012,F,33.6594835,-117.9988026,1224,West,California,CA,882,Surf City
207,2012,F,34.0522342,-118.2436849,1264,West,California,CA,5488,La
208,2012,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,271,Erie
209,2012,F,61.2180556,-149.9002778,123522,West,Alaska,AK,350,Anchorage
210,2012,M,33.6594835,-117.9988026,1224,West,California,CA,1527,Surf City
211,2012,M,34.0522342,-118.2436849,1264,West,California,CA,9780,La
212,2012,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,401,Erie
213,2012,M,61.2180556,-149.9002778,123522,West,Alaska,AK,406,Anchorage
214,2013,F,33.6594835,-117.9988026,1224,West,California,CA,878,Surf City
215,2013,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,403,Erie
216,2013,F,61.2180556,-149.9002778,123522,West,Alaska,AK,315,Anchorage
217,2013,M,33.6594835,-117.9988026,1224,West,California,CA,1361,Surf City
218,2013,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,574,Erie
219,2013,M,61.2180556,-149.9002778,123522,West,Alaska,AK,424,Anchorage
220,2014,F,33.6594835,-117.9988026,1224,West,California,CA,904,Surf City
221,2014,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,467,Erie
222,2014,F,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,66,Holland Haven
223,2014,F,61.2180556,-149.9002778,123522,West,Alaska,AK,342,Anchorage
224,2014,M,33.6594835,-117.9988026,1224,West,California,CA,1404,Surf City
225,2014,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,492,Erie
226,2014,M,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,80,Holland Haven
227,2014,M,61.2180556,-149.9002778,123522,West,Alaska,AK,440,Anchorage
228,2015,F,33.6594835,-117.9988026,1224,West,California,CA,826,Surf City
229,2015,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,695,Erie
230,2015,F,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,53,Holland Haven
231,2015,F,61.2180556,-149.9002778,123522,West,Alaska,AK,293,Anchorage
232,2015,M,33.6594835,-117.9988026,1224,West,California,CA,1255,Surf City
233,2015,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,816,Erie
234,2015,M,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,78,Holland Haven
235,2015,M,61.2180556,-149.9002778,123522,West,Alaska,AK,420,Anchorage
236,2016,F,33.6594835,-117.9988026,1224,West,California,CA,738,Surf City
237,2016,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,594,Erie
238,2016,F,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,65,Holland Haven
239,2016,F,61.2180556,-149.9002778,123522,West,Alaska,AK,279,Anchorage
240,2016,M,33.6594835,-117.9988026,1224,West,California,CA,1114,Surf City
241,2016,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,779,Erie
242,2016,M,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,68,Holland Haven
243,2016,M,61.2180556,-149.9002778,123522,West,Alaska,AK,359,Anchorage
244,2017,F,33.6594835,-117.9988026,1224,West,California,CA,590,Surf City
245,2017,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,655,Erie
246,2017,F,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,91,Holland Haven
247,2017,F,61.2180556,-149.9002778,123522,West,Alaska,AK,255,Anchorage
248,2017,M,33.6594835,-117.9988026,1224,West,California,CA,911,Surf City
249,2017,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,863,Erie
250,2017,M,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,99,Holland Haven
251,2017,M,61.2180556,-149.9002778,123522,West,Alaska,AK,364,Anchorage
252,2018,F,33.6594835,-117.9988026,1224,West,California,CA,569,Surf City
253,2018,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,614,Erie
254,2018,F,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,114,Holland Haven
255,2018,F,61.2180556,-149.9002778,123522,West,Alaska,AK,214,Anchorage
256,2018,M,33.6594835,-117.9988026,1224,West,California,CA,842,Surf City
257,2018,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,856,Erie
258,2018,M,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,120,Holland Haven
259,2018,M,61.2180556,-149.9002778,123522,West,Alaska,AK,352,Anchorage
260,2019,F,33.6594835,-117.9988026,1224,West,California,CA,412,Surf City
261,2019,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,578,Erie
262,2019,F,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,136,Holland Haven
263,2019,F,61.2180556,-149.9002778,123522,West,Alaska,AK,242,Anchorage
264,2019,M,33.6594835,-117.9988026,1224,West,California,CA,761,Surf City
265,2019,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,716,Erie
266,2019,M,42.7875235,-86.1089301,119034,Midwest,Michigan,MI,159,Holland Haven
267,2019,M,61.2180556,-149.9002778,123522,West,Alaska,AK,344,Anchorage
268,1995,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,249,Tucson
269,1995,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,767,Tucson
270,1996,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,165,Tucson
271,1996,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,424,Tucson
272,1997,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,247,Tucson
273,1997,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,555,Tucson
274,1998,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,346,Tucson
275,1998,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,633,Tucson
276,1999,F,30.267153,-97.7430608,127196,South,Texas,TX,807,Austin
277,1999,M,30.267153,-97.7430608,127196,South,Texas,TX,1437,Austin
278,2000,F,30.267153,-97.7430608,127196,South,Texas,TX,1369,Austin
279,2000,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,503,Tucson
280,2000,M,30.267153,-97.7430608,127196,South,Texas,TX,2546,Austin
281,2000,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,900,Tucson
282,2001,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,530,Tucson
283,2001,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,1057,Tucson
284,2002,F,30.267153,-97.7430608,127196,South,Texas,TX,1772,Austin
285,2002,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,619,Tucson
286,2002,M,30.267153,-97.7430608,127196,South,Texas,TX,2843,Austin
287,2002,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,1015,Tucson
288,2003,F,30.267153,-97.7430608,127196,South,Texas,TX,2056,Austin
289,2003,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,419,Tucson
290,2003,M,30.267153,-97.7430608,127196,South,Texas,TX,3056,Austin
291,2003,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,780,Tucson
292,2004,F,30.267153,-97.7430608,127196,South,Texas,TX,1968,Austin
293,2004,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,346,Tucson
294,2004,M,30.267153,-97.7430608,127196,South,Texas,TX,3036,Austin
295,2004,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,637,Tucson
296,2005,F,30.267153,-97.7430608,127196,South,Texas,TX,1748,Austin
297,2005,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,369,Tucson
298,2005,M,30.267153,-97.7430608,127196,South,Texas,TX,2846,Austin
299,2005,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,667,Tucson
300,2006,F,30.267153,-97.7430608,127196,South,Texas,TX,1801,Austin
301,2006,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,442,Tucson
302,2006,M,30.267153,-97.7430608,127196,South,Texas,TX,2746,Austin
303,2006,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,704,Tucson
