prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[18045.0, 19425.0)",-145.86150226995167,34956,2019,F,5.204166666666667,-162.89489769149625,17.033395421544583,Grandmas
"[18045.0, 19425.0)",-218.12242359897783,34956,1995,M,5.204166666666667,-191.27765953843533,-26.844764060542502,Grandmas
"[18045.0, 19425.0)",-188.27312474337816,34956,1997,M,5.204166666666667,-191.27765953843533,3.004534795057168,Grandmas
"[18045.0, 19425.0)",-212.31166051824974,34956,1998,M,5.204166666666667,-191.27765953843533,-21.034000979814408,Grandmas
"[18045.0, 19425.0)",-218.75157632092584,34956,1999,M,5.204166666666667,-191.27765953843533,-27.473916782490505,Grandmas
"[18045.0, 19425.0)",-371.3572066704308,34956,2000,M,5.204166666666667,-191.27765953843533,-180.07954713199547,Grandmas
"[18045.0, 19425.0)",-189.28942013563164,34956,2001,M,5.204166666666667,-191.27765953843533,1.9882394028036856,Grandmas
"[18045.0, 19425.0)",-214.52128552480397,34956,2002,M,5.204166666666667,-191.27765953843533,-23.24362598636864,Grandmas
"[18045.0, 19425.0)",-214.5742621501076,34956,2003,M,5.204166666666667,-191.27765953843533,-23.296602611672256,Grandmas
"[18045.0, 19425.0)",-167.61292869327727,34956,2004,M,5.204166666666667,-191.27765953843533,23.66473084515806,Grandmas
"[18045.0, 19425.0)",-211.5424259559342,34956,2005,M,5.204166666666667,-191.27765953843533,-20.264766417498862,Grandmas
"[18045.0, 19425.0)",-151.21746070088935,34956,2006,M,5.204166666666667,-191.27765953843533,40.06019883754598,Grandmas
"[18045.0, 19425.0)",-157.5536360758419,34956,2007,M,5.204166666666667,-191.27765953843533,33.724023462593436,Grandmas
"[18045.0, 19425.0)",-112.39300966523996,34956,2009,M,5.204166666666667,-191.27765953843533,78.88464987319537,Grandmas
"[18045.0, 19425.0)",-168.23869120802678,34956,2010,M,5.204166666666667,-191.27765953843533,23.03896833040855,Grandmas
"[18045.0, 19425.0)",-203.24354993039054,34956,2011,M,5.204166666666667,-191.27765953843533,-11.965890391955213,Grandmas
