prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[9465.0, 9525.0)",109.86122886681098,96107,2016,F,2.6375,36.17670533461356,73.68452353219742,Chicago
"[9465.0, 9525.0)",138.62943611198907,96107,2017,F,2.6375,36.17670533461356,102.4527307773755,Chicago
"[9465.0, 9525.0)",40.546510810816436,96107,2018,F,2.6375,36.17670533461356,4.3698054762028775,Chicago
"[9465.0, 9525.0)",-40.54651081081644,96107,2019,F,2.6375,36.17670533461356,-76.72321614543,Chicago
"[9525.0, 9615.0)",40.546510810816436,34956,1995,F,2.658333333333333,46.56477546745511,-6.018264656638671,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,1998,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,1999,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",-69.31471805599453,34956,2001,F,2.658333333333333,46.56477546745511,-115.87949352344964,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2002,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",-69.31471805599453,34956,2003,F,2.658333333333333,46.56477546745511,-115.87949352344964,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2006,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",-69.31471805599453,34956,2009,F,2.658333333333333,46.56477546745511,-115.87949352344964,Grandmas
"[9525.0, 9615.0)",91.62907318741551,34956,2011,F,2.658333333333333,46.56477546745511,45.06429771996041,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2012,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",40.546510810816436,34956,2014,F,2.658333333333333,46.56477546745511,-6.018264656638671,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2015,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2016,F,2.658333333333333,46.56477546745511,22.749942588539426,Grandmas
"[9525.0, 9615.0)",109.86122886681098,34956,2018,F,2.658333333333333,46.56477546745511,63.29645339935587,Grandmas
"[9525.0, 9615.0)",138.62943611198907,34956,2019,F,2.658333333333333,46.56477546745511,92.06466064453396,Grandmas
"[9525.0, 9615.0)",40.546510810816436,34956,1995,M,2.658333333333333,48.38268687420632,-7.836176063389885,Grandmas
"[9525.0, 9615.0)",51.08256237659907,34956,1997,M,2.658333333333333,48.38268687420632,2.69987550239275,Grandmas
"[9525.0, 9615.0)",160.94379124341003,34956,1998,M,2.658333333333333,48.38268687420632,112.56110436920372,Grandmas
"[9525.0, 9615.0)",22.314355131420978,34956,2000,M,2.658333333333333,48.38268687420632,-26.068331742785343,Grandmas
"[9525.0, 9615.0)",109.86122886681098,34956,2003,M,2.658333333333333,48.38268687420632,61.478541992604654,Grandmas
